景点名称,经纬度,拥堵等级,平均车速(km/h),路况描述,查询时间,查询状态
洪崖洞,"106.5550,29.5820",缓行,19.0,车流量较大，行驶缓慢,2026-04-28 00:00:00,成功
南坪,"106.5800,29.5400",缓行,15.0,车流量较大，行驶缓慢,2026-04-12 00:00:00,成功
南山,"106.5760,29.5660",畅通,40.0,道路畅通，车速正常,2026-04-04 00:00:00,成功
长江大桥,"106.5725,29.5601",畅通,32.8,道路畅通，车速正常,2026-04-20 00:00:00,成功
南坪,"106.5725,29.5601",畅通,34.1,道路畅通，车速正常,2026-04-15 00:00:00,成功
鹅岭,"106.5600,29.5500",缓行,21.2,车流量较大，行驶缓慢,2026-04-15 00:00:00,成功
李子坝,"106.5800,29.5400",畅通,33.2,道路畅通，车速正常,2026-04-08 00:00:00,成功
鹅岭,"106.5600,29.5500",畅通,40.5,道路畅通，车速正常,2026-04-15 00:00:00,成功
鹅岭,"106.5760,29.5660",畅通,34.2,道路畅通，车速正常,2026-04-02 00:00:00,成功
观音桥,"106.5725,29.5601",缓行,24.8,车流量较大，行驶缓慢,2026-04-18 00:00:00,成功
解放碑,"106.5550,29.5820",缓行,21.1,车流量较大，行驶缓慢,2026-04-12 00:00:00,成功
杨家坪,"106.5600,29.5500",畅通,49.0,道路畅通，车速正常,2026-04-27 00:00:00,成功
嘉陵江大桥,"106.5760,29.5660",畅通,34.2,道路畅通，车速正常,2026-04-10 00:00:00,成功
观音桥,"106.5600,29.5500",畅通,51.9,道路畅通，车速正常,2026-04-17 00:00:00,成功
朝天门,"106.5725,29.5601",缓行,18.8,车流量较大，行驶缓慢,2026-04-06 00:00:00,成功
嘉陵江大桥,"106.5800,29.5400",畅通,31.4,道路畅通，车速正常,2026-04-03 00:00:00,成功
南山,"106.5600,29.5500",缓行,21.0,车流量较大，行驶缓慢,2026-04-19 00:00:00,成功
鹅岭,"106.5550,29.5820",缓行,27.0,车流量较大，行驶缓慢,2026-04-22 00:00:00,成功
南坪,"106.5600,29.5500",缓行,18.4,车流量较大，行驶缓慢,2026-04-26 00:00:00,成功
嘉陵江大桥,"106.5600,29.5500",畅通,32.7,道路畅通，车速正常,2026-04-26 00:00:00,成功
长江大桥,"106.5760,29.5660",畅通,43.9,道路畅通，车速正常,2026-04-28 00:00:00,成功
南山,"106.5600,29.5500",缓行,23.4,车流量较大，行驶缓慢,2026-04-17 00:00:00,成功
洪崖洞,"106.5600,29.5500",缓行,21.3,车流量较大，行驶缓慢,2026-04-10 00:00:00,成功
解放碑,"106.5550,29.5820",缓行,17.4,车流量较大，行驶缓慢,2026-04-03 00:00:00,成功
磁器口,"106.5800,29.5400",畅通,31.6,道路畅通，车速正常,2026-04-08 00:00:00,成功
洪崖洞,"106.5740,29.5630",畅通,40.8,道路畅通，车速正常,2026-04-02 00:00:00,成功
李子坝,"106.5550,29.5820",缓行,20.0,车流量较大，行驶缓慢,2026-04-19 00:00:00,成功
鹅岭,"106.5800,29.5400",缓行,19.0,车流量较大，行驶缓慢,2026-04-03 00:00:00,成功
杨家坪,"106.5740,29.5630",缓行,28.0,车流量较大，行驶缓慢,2026-04-28 00:00:00,成功
解放碑,"106.5740,29.5630",畅通,33.4,道路畅通，车速正常,2026-04-18 00:00:00,成功
南坪,"106.5600,29.5500",缓行,23.6,车流量较大，行驶缓慢,2026-04-12 00:00:00,成功
长江大桥,"106.5760,29.5660",畅通,32.2,道路畅通，车速正常,2026-04-21 00:00:00,成功
鹅岭,"106.5725,29.5601",畅通,50.6,道路畅通，车速正常,2026-04-09 00:00:00,成功
长江大桥,"106.5600,29.5500",畅通,46.4,道路畅通，车速正常,2026-04-29 00:00:00,成功
观音桥,"106.5600,29.5500",缓行,28.1,车流量较大，行驶缓慢,2026-04-02 00:00:00,成功
南坪,"106.5600,29.5500",缓行,23.4,车流量较大，行驶缓慢,2026-04-15 00:00:00,成功
长江大桥,"106.5800,29.5400",畅通,48.7,道路畅通，车速正常,2026-04-09 00:00:00,成功
杨家坪,"106.5600,29.5500",缓行,21.2,车流量较大，行驶缓慢,2026-04-05 00:00:00,成功
南坪,"106.5740,29.5630",畅通,32.3,道路畅通，车速正常,2026-04-19 00:00:00,成功
嘉陵江大桥,"106.5725,29.5601",畅通,41.7,道路畅通，车速正常,2026-04-13 00:00:00,成功
朝天门,"106.5550,29.5820",缓行,24.2,车流量较大，行驶缓慢,2026-04-22 00:00:00,成功
嘉陵江大桥,"106.5740,29.5630",缓行,16.7,车流量较大，行驶缓慢,2026-04-19 00:00:00,成功
杨家坪,"106.5550,29.5820",缓行,27.7,车流量较大，行驶缓慢,2026-04-05 00:00:00,成功
磁器口,"106.5740,29.5630",畅通,35.8,道路畅通，车速正常,2026-04-06 00:00:00,成功
鹅岭,"106.5800,29.5400",缓行,20.9,车流量较大，行驶缓慢,2026-04-05 00:00:00,成功
磁器口,"106.5725,29.5601",畅通,41.5,道路畅通，车速正常,2026-04-02 00:00:00,成功
磁器口,"106.5725,29.5601",畅通,48.3,道路畅通，车速正常,2026-04-08 00:00:00,成功
李子坝,"106.5725,29.5601",缓行,24.6,车流量较大，行驶缓慢,2026-04-09 00:00:00,成功
观音桥,"106.5760,29.5660",畅通,32.5,道路畅通，车速正常,2026-04-22 00:00:00,成功
鹅岭,"106.5600,29.5500",缓行,26.7,车流量较大，行驶缓慢,2026-04-08 00:00:00,成功
磁器口,"106.5800,29.5400",畅通,32.2,道路畅通，车速正常,2026-04-27 00:00:00,成功
解放碑,"106.5800,29.5400",畅通,52.0,道路畅通，车速正常,2026-04-20 00:00:00,成功
磁器口,"106.5600,29.5500",畅通,40.1,道路畅通，车速正常,2026-04-07 00:00:00,成功
洪崖洞,"106.5725,29.5601",缓行,15.2,车流量较大，行驶缓慢,2026-04-18 00:00:00,成功
观音桥,"106.5760,29.5660",缓行,21.1,车流量较大，行驶缓慢,2026-04-22 00:00:00,成功
南山,"106.5600,29.5500",畅通,33.2,道路畅通，车速正常,2026-04-07 00:00:00,成功
杨家坪,"106.5800,29.5400",缓行,15.6,车流量较大，行驶缓慢,2026-04-10 00:00:00,成功
长江大桥,"106.5740,29.5630",畅通,45.8,道路畅通，车速正常,2026-04-27 00:00:00,成功
解放碑,"106.5600,29.5500",畅通,35.3,道路畅通，车速正常,2026-04-24 00:00:00,成功
南坪,"106.5800,29.5400",缓行,29.2,车流量较大，行驶缓慢,2026-04-20 00:00:00,成功
鹅岭,"106.5740,29.5630",拥堵,12.9,严重拥堵，建议绕行,2026-04-11 00:00:00,成功
解放碑,"106.5740,29.5630",缓行,22.5,车流量较大，行驶缓慢,2026-04-10 00:00:00,成功
观音桥,"106.5800,29.5400",缓行,28.2,车流量较大，行驶缓慢,2026-04-23 00:00:00,成功
李子坝,"106.5725,29.5601",畅通,51.2,道路畅通，车速正常,2026-04-15 00:00:00,成功
解放碑,"106.5600,29.5500",畅通,50.9,道路畅通，车速正常,2026-04-30 00:00:00,成功
长江大桥,"106.5550,29.5820",畅通,35.3,道路畅通，车速正常,2026-04-21 00:00:00,成功
解放碑,"106.5740,29.5630",畅通,51.2,道路畅通，车速正常,2026-04-14 00:00:00,成功
观音桥,"106.5725,29.5601",畅通,37.7,道路畅通，车速正常,2026-04-23 00:00:00,成功
磁器口,"106.5740,29.5630",缓行,18.5,车流量较大，行驶缓慢,2026-04-18 00:00:00,成功
解放碑,"106.5725,29.5601",畅通,39.4,道路畅通，车速正常,2026-04-02 00:00:00,成功
南坪,"106.5760,29.5660",畅通,32.9,道路畅通，车速正常,2026-04-02 00:00:00,成功
嘉陵江大桥,"106.5740,29.5630",畅通,48.7,道路畅通，车速正常,2026-04-17 00:00:00,成功
观音桥,"106.5800,29.5400",畅通,30.8,道路畅通，车速正常,2026-04-23 00:00:00,成功
南坪,"106.5740,29.5630",缓行,26.5,车流量较大，行驶缓慢,2026-04-07 00:00:00,成功
鹅岭,"106.5725,29.5601",畅通,45.3,道路畅通，车速正常,2026-04-15 00:00:00,成功
朝天门,"106.5725,29.5601",缓行,24.3,车流量较大，行驶缓慢,2026-04-24 00:00:00,成功
杨家坪,"106.5725,29.5601",缓行,19.8,车流量较大，行驶缓慢,2026-04-29 00:00:00,成功
长江大桥,"106.5800,29.5400",畅通,48.5,道路畅通，车速正常,2026-04-23 00:00:00,成功
磁器口,"106.5760,29.5660",畅通,34.6,道路畅通，车速正常,2026-04-23 00:00:00,成功
鹅岭,"106.5550,29.5820",缓行,21.9,车流量较大，行驶缓慢,2026-04-26 00:00:00,成功
鹅岭,"106.5800,29.5400",缓行,25.5,车流量较大，行驶缓慢,2026-04-05 00:00:00,成功
鹅岭,"106.5550,29.5820",缓行,24.1,车流量较大，行驶缓慢,2026-04-29 00:00:00,成功
李子坝,"106.5725,29.5601",缓行,19.3,车流量较大，行驶缓慢,2026-04-25 00:00:00,成功
朝天门,"106.5725,29.5601",畅通,40.3,道路畅通，车速正常,2026-04-09 00:00:00,成功
朝天门,"106.5550,29.5820",畅通,33.0,道路畅通，车速正常,2026-04-23 00:00:00,成功
洪崖洞,"106.5760,29.5660",畅通,52.5,道路畅通，车速正常,2026-04-27 00:00:00,成功
观音桥,"106.5550,29.5820",畅通,33.7,道路畅通，车速正常,2026-04-30 00:00:00,成功
嘉陵江大桥,"106.5800,29.5400",畅通,51.4,道路畅通，车速正常,2026-04-20 00:00:00,成功
朝天门,"106.5760,29.5660",缓行,16.3,车流量较大，行驶缓慢,2026-04-16 00:00:00,成功
杨家坪,"106.5550,29.5820",畅通,42.2,道路畅通，车速正常,2026-04-13 00:00:00,成功
南山,"106.5760,29.5660",畅通,39.7,道路畅通，车速正常,2026-04-22 00:00:00,成功
朝天门,"106.5725,29.5601",畅通,42.9,道路畅通，车速正常,2026-04-15 00:00:00,成功
南山,"106.5800,29.5400",缓行,23.3,车流量较大，行驶缓慢,2026-04-06 00:00:00,成功
嘉陵江大桥,"106.5800,29.5400",畅通,33.8,道路畅通，车速正常,2026-04-29 00:00:00,成功
朝天门,"106.5725,29.5601",畅通,51.4,道路畅通，车速正常,2026-04-30 00:00:00,成功
鹅岭,"106.5725,29.5601",畅通,49.1,道路畅通，车速正常,2026-04-09 00:00:00,成功
杨家坪,"106.5725,29.5601",畅通,47.9,道路畅通，车速正常,2026-04-20 00:00:00,成功
磁器口,"106.5800,29.5400",畅通,33.9,道路畅通，车速正常,2026-04-21 00:00:00,成功
磁器口,"106.5800,29.5400",畅通,54.2,道路畅通，车速正常,2026-04-20 00:00:00,成功
长江大桥,"106.5740,29.5630",畅通,33.4,道路畅通，车速正常,2026-04-08 00:00:00,成功
朝天门,"106.5800,29.5400",缓行,27.4,车流量较大，行驶缓慢,2026-04-23 00:00:00,成功
朝天门,"106.5550,29.5820",缓行,29.7,车流量较大，行驶缓慢,2026-04-24 00:00:00,成功
观音桥,"106.5760,29.5660",缓行,29.5,车流量较大，行驶缓慢,2026-04-16 00:00:00,成功
南山,"106.5550,29.5820",缓行,20.6,车流量较大，行驶缓慢,2026-04-20 00:00:00,成功
长江大桥,"106.5740,29.5630",缓行,29.8,车流量较大，行驶缓慢,2026-04-10 00:00:00,成功
鹅岭,"106.5740,29.5630",缓行,28.8,车流量较大，行驶缓慢,2026-04-08 00:00:00,成功
观音桥,"106.5725,29.5601",畅通,47.3,道路畅通，车速正常,2026-04-15 00:00:00,成功
杨家坪,"106.5600,29.5500",缓行,28.3,车流量较大，行驶缓慢,2026-04-18 00:00:00,成功
朝天门,"106.5600,29.5500",畅通,37.1,道路畅通，车速正常,2026-04-30 00:00:00,成功
解放碑,"106.5760,29.5660",缓行,24.2,车流量较大，行驶缓慢,2026-04-29 00:00:00,成功
长江大桥,"106.5740,29.5630",缓行,22.6,车流量较大，行驶缓慢,2026-04-14 00:00:00,成功
南山,"106.5550,29.5820",畅通,50.1,道路畅通，车速正常,2026-04-14 00:00:00,成功
南山,"106.5760,29.5660",畅通,43.7,道路畅通，车速正常,2026-04-14 00:00:00,成功
南山,"106.5550,29.5820",畅通,49.6,道路畅通，车速正常,2026-04-29 00:00:00,成功
解放碑,"106.5760,29.5660",畅通,35.5,道路畅通，车速正常,2026-04-13 00:00:00,成功
磁器口,"106.5740,29.5630",缓行,28.6,车流量较大，行驶缓慢,2026-04-25 00:00:00,成功
朝天门,"106.5740,29.5630",畅通,40.0,道路畅通，车速正常,2026-04-11 00:00:00,成功
解放碑,"106.5600,29.5500",畅通,47.1,道路畅通，车速正常,2026-04-29 00:00:00,成功
鹅岭,"106.5740,29.5630",缓行,29.8,车流量较大，行驶缓慢,2026-04-17 00:00:00,成功
观音桥,"106.5760,29.5660",畅通,32.8,道路畅通，车速正常,2026-04-04 00:00:00,成功
南坪,"106.5800,29.5400",缓行,25.8,车流量较大，行驶缓慢,2026-04-03 00:00:00,成功
长江大桥,"106.5760,29.5660",畅通,43.7,道路畅通，车速正常,2026-04-20 00:00:00,成功
南山,"106.5800,29.5400",缓行,25.9,车流量较大，行驶缓慢,2026-04-17 00:00:00,成功
磁器口,"106.5725,29.5601",拥堵,12.8,严重拥堵，建议绕行,2026-04-19 00:00:00,成功
鹅岭,"106.5740,29.5630",畅通,40.2,道路畅通，车速正常,2026-04-08 00:00:00,成功
洪崖洞,"106.5725,29.5601",畅通,41.4,道路畅通，车速正常,2026-04-09 00:00:00,成功
朝天门,"106.5725,29.5601",畅通,49.7,道路畅通，车速正常,2026-04-30 00:00:00,成功
洪崖洞,"106.5725,29.5601",畅通,40.5,道路畅通，车速正常,2026-04-15 00:00:00,成功
杨家坪,"106.5760,29.5660",畅通,45.7,道路畅通，车速正常,2026-04-14 00:00:00,成功
杨家坪,"106.5800,29.5400",畅通,41.2,道路畅通，车速正常,2026-04-17 00:00:00,成功
磁器口,"106.5800,29.5400",缓行,27.2,车流量较大，行驶缓慢,2026-04-10 00:00:00,成功
观音桥,"106.5725,29.5601",畅通,33.8,道路畅通，车速正常,2026-04-08 00:00:00,成功
嘉陵江大桥,"106.5740,29.5630",畅通,35.7,道路畅通，车速正常,2026-04-15 00:00:00,成功
观音桥,"106.5740,29.5630",缓行,21.9,车流量较大，行驶缓慢,2026-04-08 00:00:00,成功
解放碑,"106.5550,29.5820",缓行,27.1,车流量较大，行驶缓慢,2026-04-25 00:00:00,成功
观音桥,"106.5600,29.5500",畅通,51.0,道路畅通，车速正常,2026-04-02 00:00:00,成功
长江大桥,"106.5550,29.5820",缓行,20.3,车流量较大，行驶缓慢,2026-04-30 00:00:00,成功
李子坝,"106.5550,29.5820",畅通,34.2,道路畅通，车速正常,2026-04-27 00:00:00,成功
磁器口,"106.5550,29.5820",缓行,25.6,车流量较大，行驶缓慢,2026-04-30 00:00:00,成功
李子坝,"106.5800,29.5400",缓行,25.4,车流量较大，行驶缓慢,2026-04-15 00:00:00,成功
朝天门,"106.5800,29.5400",缓行,21.2,车流量较大，行驶缓慢,2026-04-12 00:00:00,成功
嘉陵江大桥,"106.5800,29.5400",缓行,29.0,车流量较大，行驶缓慢,2026-04-21 00:00:00,成功
杨家坪,"106.5725,29.5601",缓行,25.4,车流量较大，行驶缓慢,2026-04-22 00:00:00,成功
杨家坪,"106.5760,29.5660",缓行,23.5,车流量较大，行驶缓慢,2026-04-09 00:00:00,成功
李子坝,"106.5740,29.5630",畅通,41.2,道路畅通，车速正常,2026-04-23 00:00:00,成功
朝天门,"106.5600,29.5500",畅通,33.0,道路畅通，车速正常,2026-04-07 00:00:00,成功
洪崖洞,"106.5760,29.5660",缓行,24.2,车流量较大，行驶缓慢,2026-04-28 00:00:00,成功
南山,"106.5800,29.5400",畅通,36.1,道路畅通，车速正常,2026-04-19 00:00:00,成功
洪崖洞,"106.5760,29.5660",畅通,48.6,道路畅通，车速正常,2026-04-23 00:00:00,成功
南坪,"106.5800,29.5400",缓行,23.9,车流量较大，行驶缓慢,2026-04-01 00:00:00,成功
磁器口,"106.5800,29.5400",缓行,29.3,车流量较大，行驶缓慢,2026-04-30 00:00:00,成功
杨家坪,"106.5725,29.5601",畅通,40.2,道路畅通，车速正常,2026-04-11 00:00:00,成功
观音桥,"106.5760,29.5660",缓行,15.5,车流量较大，行驶缓慢,2026-04-03 00:00:00,成功
朝天门,"106.5740,29.5630",畅通,31.7,道路畅通，车速正常,2026-04-02 00:00:00,成功
长江大桥,"106.5800,29.5400",缓行,22.5,车流量较大，行驶缓慢,2026-04-06 00:00:00,成功
杨家坪,"106.5550,29.5820",缓行,27.8,车流量较大，行驶缓慢,2026-04-04 00:00:00,成功
解放碑,"106.5740,29.5630",缓行,29.2,车流量较大，行驶缓慢,2026-04-04 00:00:00,成功
朝天门,"106.5600,29.5500",缓行,28.1,车流量较大，行驶缓慢,2026-04-28 00:00:00,成功
磁器口,"106.5725,29.5601",缓行,26.7,车流量较大，行驶缓慢,2026-04-18 00:00:00,成功
解放碑,"106.5725,29.5601",缓行,23.1,车流量较大，行驶缓慢,2026-04-06 00:00:00,成功
洪崖洞,"106.5760,29.5660",畅通,34.4,道路畅通，车速正常,2026-04-04 00:00:00,成功
解放碑,"106.5740,29.5630",畅通,31.4,道路畅通，车速正常,2026-04-04 00:00:00,成功
李子坝,"106.5725,29.5601",缓行,15.5,车流量较大，行驶缓慢,2026-04-23 00:00:00,成功
鹅岭,"106.5600,29.5500",畅通,33.0,道路畅通，车速正常,2026-04-22 00:00:00,成功
朝天门,"106.5600,29.5500",畅通,35.7,道路畅通，车速正常,2026-04-28 00:00:00,成功
朝天门,"106.5600,29.5500",缓行,25.3,车流量较大，行驶缓慢,2026-04-09 00:00:00,成功
解放碑,"106.5800,29.5400",畅通,32.0,道路畅通，车速正常,2026-04-03 00:00:00,成功
杨家坪,"106.5550,29.5820",畅通,48.3,道路畅通，车速正常,2026-04-03 00:00:00,成功
李子坝,"106.5740,29.5630",畅通,54.2,道路畅通，车速正常,2026-04-22 00:00:00,成功
鹅岭,"106.5550,29.5820",缓行,27.0,车流量较大，行驶缓慢,2026-04-09 00:00:00,成功
洪崖洞,"106.5760,29.5660",畅通,40.4,道路畅通，车速正常,2026-04-15 00:00:00,成功
观音桥,"106.5725,29.5601",缓行,22.3,车流量较大，行驶缓慢,2026-04-05 00:00:00,成功
南山,"106.5800,29.5400",畅通,37.6,道路畅通，车速正常,2026-04-29 00:00:00,成功
鹅岭,"106.5725,29.5601",畅通,43.6,道路畅通，车速正常,2026-04-10 00:00:00,成功
南山,"106.5760,29.5660",畅通,46.3,道路畅通，车速正常,2026-04-27 00:00:00,成功
洪崖洞,"106.5760,29.5660",畅通,35.5,道路畅通，车速正常,2026-04-08 00:00:00,成功
朝天门,"106.5600,29.5500",缓行,25.7,车流量较大，行驶缓慢,2026-04-11 00:00:00,成功
南山,"106.5800,29.5400",畅通,45.3,道路畅通，车速正常,2026-04-30 00:00:00,成功
南坪,"106.5740,29.5630",缓行,28.0,车流量较大，行驶缓慢,2026-04-10 00:00:00,成功
鹅岭,"106.5550,29.5820",畅通,30.0,道路畅通，车速正常,2026-04-09 00:00:00,成功
磁器口,"106.5740,29.5630",畅通,33.2,道路畅通，车速正常,2026-04-03 00:00:00,成功
洪崖洞,"106.5800,29.5400",缓行,26.7,车流量较大，行驶缓慢,2026-04-29 00:00:00,成功
南山,"106.5600,29.5500",缓行,23.6,车流量较大，行驶缓慢,2026-04-09 00:00:00,成功
南坪,"106.5800,29.5400",畅通,42.1,道路畅通，车速正常,2026-04-01 00:00:00,成功
观音桥,"106.5725,29.5601",畅通,39.9,道路畅通，车速正常,2026-04-23 00:00:00,成功
鹅岭,"106.5760,29.5660",畅通,42.1,道路畅通，车速正常,2026-04-02 00:00:00,成功
李子坝,"106.5600,29.5500",缓行,19.8,车流量较大，行驶缓慢,2026-04-11 00:00:00,成功
解放碑,"106.5740,29.5630",缓行,18.3,车流量较大，行驶缓慢,2026-04-11 00:00:00,成功
南坪,"106.5740,29.5630",缓行,26.5,车流量较大，行驶缓慢,2026-04-24 00:00:00,成功
解放碑,"106.5760,29.5660",拥堵,12.0,严重拥堵，建议绕行,2026-04-06 00:00:00,成功
长江大桥,"106.5740,29.5630",缓行,20.5,车流量较大，行驶缓慢,2026-04-26 00:00:00,成功
长江大桥,"106.5600,29.5500",畅通,31.8,道路畅通，车速正常,2026-04-07 00:00:00,成功
杨家坪,"106.5550,29.5820",缓行,20.3,车流量较大，行驶缓慢,2026-04-19 00:00:00,成功
洪崖洞,"106.5800,29.5400",缓行,24.7,车流量较大，行驶缓慢,2026-04-19 00:00:00,成功
长江大桥,"106.5760,29.5660",缓行,27.3,车流量较大，行驶缓慢,2026-04-24 00:00:00,成功
解放碑,"106.5740,29.5630",缓行,28.4,车流量较大，行驶缓慢,2026-04-02 00:00:00,成功
南山,"106.5800,29.5400",畅通,32.3,道路畅通，车速正常,2026-04-25 00:00:00,成功
观音桥,"106.5740,29.5630",畅通,34.7,道路畅通，车速正常,2026-04-16 00:00:00,成功
解放碑,"106.5550,29.5820",缓行,17.2,车流量较大，行驶缓慢,2026-04-11 00:00:00,成功
朝天门,"106.5600,29.5500",畅通,48.4,道路畅通，车速正常,2026-04-10 00:00:00,成功
南山,"106.5760,29.5660",畅通,32.7,道路畅通，车速正常,2026-04-23 00:00:00,成功
长江大桥,"106.5550,29.5820",缓行,15.1,车流量较大，行驶缓慢,2026-04-06 00:00:00,成功
解放碑,"106.5725,29.5601",畅通,39.6,道路畅通，车速正常,2026-04-06 00:00:00,成功
观音桥,"106.5725,29.5601",畅通,31.1,道路畅通，车速正常,2026-04-17 00:00:00,成功
洪崖洞,"106.5760,29.5660",畅通,44.2,道路畅通，车速正常,2026-04-15 00:00:00,成功
长江大桥,"106.5740,29.5630",缓行,20.3,车流量较大，行驶缓慢,2026-04-22 00:00:00,成功
杨家坪,"106.5760,29.5660",缓行,21.7,车流量较大，行驶缓慢,2026-04-05 00:00:00,成功
杨家坪,"106.5600,29.5500",缓行,26.0,车流量较大，行驶缓慢,2026-04-20 00:00:00,成功
南山,"106.5760,29.5660",缓行,27.1,车流量较大，行驶缓慢,2026-04-09 00:00:00,成功
嘉陵江大桥,"106.5725,29.5601",畅通,31.2,道路畅通，车速正常,2026-04-18 00:00:00,成功
鹅岭,"106.5760,29.5660",缓行,17.3,车流量较大，行驶缓慢,2026-04-19 00:00:00,成功
南山,"106.5740,29.5630",缓行,19.5,车流量较大，行驶缓慢,2026-04-30 00:00:00,成功
观音桥,"106.5800,29.5400",缓行,15.2,车流量较大，行驶缓慢,2026-04-25 00:00:00,成功
朝天门,"106.5800,29.5400",畅通,38.2,道路畅通，车速正常,2026-04-26 00:00:00,成功
鹅岭,"106.5550,29.5820",畅通,47.7,道路畅通，车速正常,2026-04-24 00:00:00,成功
嘉陵江大桥,"106.5760,29.5660",畅通,30.7,道路畅通，车速正常,2026-04-22 00:00:00,成功
长江大桥,"106.5550,29.5820",缓行,29.3,车流量较大，行驶缓慢,2026-04-30 00:00:00,成功
鹅岭,"106.5760,29.5660",畅通,42.5,道路畅通，车速正常,2026-04-23 00:00:00,成功
李子坝,"106.5600,29.5500",缓行,29.4,车流量较大，行驶缓慢,2026-04-15 00:00:00,成功
解放碑,"106.5600,29.5500",畅通,32.1,道路畅通，车速正常,2026-04-16 00:00:00,成功
磁器口,"106.5600,29.5500",缓行,18.5,车流量较大，行驶缓慢,2026-04-02 00:00:00,成功
朝天门,"106.5760,29.5660",缓行,28.6,车流量较大，行驶缓慢,2026-04-08 00:00:00,成功
朝天门,"106.5800,29.5400",缓行,18.4,车流量较大，行驶缓慢,2026-04-06 00:00:00,成功
洪崖洞,"106.5600,29.5500",缓行,17.0,车流量较大，行驶缓慢,2026-04-12 00:00:00,成功
李子坝,"106.5550,29.5820",缓行,19.3,车流量较大，行驶缓慢,2026-04-20 00:00:00,成功
解放碑,"106.5550,29.5820",缓行,26.6,车流量较大，行驶缓慢,2026-04-06 00:00:00,成功
磁器口,"106.5740,29.5630",缓行,23.5,车流量较大，行驶缓慢,2026-04-18 00:00:00,成功
长江大桥,"106.5550,29.5820",畅通,38.5,道路畅通，车速正常,2026-04-03 00:00:00,成功
朝天门,"106.5740,29.5630",缓行,21.4,车流量较大，行驶缓慢,2026-04-10 00:00:00,成功
解放碑,"106.5600,29.5500",畅通,47.8,道路畅通，车速正常,2026-04-17 00:00:00,成功
磁器口,"106.5550,29.5820",缓行,19.8,车流量较大，行驶缓慢,2026-04-18 00:00:00,成功
杨家坪,"106.5800,29.5400",缓行,17.1,车流量较大，行驶缓慢,2026-04-02 00:00:00,成功
朝天门,"106.5760,29.5660",畅通,33.4,道路畅通，车速正常,2026-04-20 00:00:00,成功
观音桥,"106.5760,29.5660",缓行,17.8,车流量较大，行驶缓慢,2026-04-01 00:00:00,成功
长江大桥,"106.5600,29.5500",缓行,28.9,车流量较大，行驶缓慢,2026-04-30 00:00:00,成功
朝天门,"106.5800,29.5400",缓行,23.6,车流量较大，行驶缓慢,2026-04-09 00:00:00,成功
洪崖洞,"106.5760,29.5660",畅通,31.4,道路畅通，车速正常,2026-04-10 00:00:00,成功
洪崖洞,"106.5800,29.5400",畅通,48.8,道路畅通，车速正常,2026-04-30 00:00:00,成功
鹅岭,"106.5550,29.5820",缓行,27.4,车流量较大，行驶缓慢,2026-04-11 00:00:00,成功
南山,"106.5550,29.5820",缓行,25.6,车流量较大，行驶缓慢,2026-04-20 00:00:00,成功
鹅岭,"106.5800,29.5400",缓行,15.9,车流量较大，行驶缓慢,2026-04-26 00:00:00,成功
李子坝,"106.5600,29.5500",缓行,22.0,车流量较大，行驶缓慢,2026-04-23 00:00:00,成功
南山,"106.5550,29.5820",缓行,17.9,车流量较大，行驶缓慢,2026-04-11 00:00:00,成功
李子坝,"106.5725,29.5601",畅通,47.3,道路畅通，车速正常,2026-04-15 00:00:00,成功
李子坝,"106.5600,29.5500",缓行,25.8,车流量较大，行驶缓慢,2026-04-10 00:00:00,成功
观音桥,"106.5725,29.5601",缓行,27.0,车流量较大，行驶缓慢,2026-04-14 00:00:00,成功
南坪,"106.5725,29.5601",畅通,43.9,道路畅通，车速正常,2026-04-13 00:00:00,成功
观音桥,"106.5740,29.5630",缓行,27.2,车流量较大，行驶缓慢,2026-04-12 00:00:00,成功
磁器口,"106.5800,29.5400",畅通,35.0,道路畅通，车速正常,2026-04-24 00:00:00,成功
长江大桥,"106.5600,29.5500",缓行,28.5,车流量较大，行驶缓慢,2026-04-12 00:00:00,成功
杨家坪,"106.5740,29.5630",畅通,34.1,道路畅通，车速正常,2026-04-19 00:00:00,成功
嘉陵江大桥,"106.5725,29.5601",缓行,27.2,车流量较大，行驶缓慢,2026-04-22 00:00:00,成功
南山,"106.5800,29.5400",缓行,28.7,车流量较大，行驶缓慢,2026-04-22 00:00:00,成功
朝天门,"106.5600,29.5500",畅通,43.1,道路畅通，车速正常,2026-04-27 00:00:00,成功
杨家坪,"106.5550,29.5820",缓行,22.5,车流量较大，行驶缓慢,2026-04-10 00:00:00,成功
南坪,"106.5725,29.5601",缓行,24.5,车流量较大，行驶缓慢,2026-04-13 00:00:00,成功
南山,"106.5725,29.5601",畅通,37.2,道路畅通，车速正常,2026-04-27 00:00:00,成功
磁器口,"106.5600,29.5500",缓行,27.6,车流量较大，行驶缓慢,2026-04-01 00:00:00,成功
南坪,"106.5800,29.5400",畅通,50.5,道路畅通，车速正常,2026-04-01 00:00:00,成功
嘉陵江大桥,"106.5600,29.5500",畅通,44.7,道路畅通，车速正常,2026-04-23 00:00:00,成功
观音桥,"106.5600,29.5500",缓行,25.4,车流量较大，行驶缓慢,2026-04-06 00:00:00,成功
解放碑,"106.5760,29.5660",畅通,37.5,道路畅通，车速正常,2026-04-06 00:00:00,成功
磁器口,"106.5600,29.5500",缓行,18.7,车流量较大，行驶缓慢,2026-04-11 00:00:00,成功
